Date,Minutes
2025-JUL-01,16.90
2025-JUL-02,97.84
2025-JUL-03,231.17
2025-JUL-04,80.05
2025-JUL-05,81.51
2025-JUL-06,16.77
2025-JUL-07,154.10
2025-JUL-08,79.16
2025-JUL-09,111.66
2025-JUL-10,15.77
2025-JUL-11,65.65
2025-JUL-12,21.55
2025-JUL-13,190.51
2025-JUL-14,233.09
2025-JUL-15,204.17
2025-JUL-16,166.81
2025-JUL-17,10.80
2025-JUL-18,236.17
2025-JUL-19,68.76
2025-JUL-20,100.63
2025-JUL-21,131.87
2025-JUL-22,113.08
2025-JUL-23,219.25
2025-JUL-24,235.03
2025-JUL-25,190.86
2025-JUL-26,50.01
2025-JUL-27,150.11
2025-JUL-28,20.38
2025-JUL-29,121.42
2025-JUL-30,133.70
2025-JUL-31,188.23